station,line,towards,countdown,time
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[2, 12, 19, 28, 33, 41, 48, 56, 63]",1638525700.5035944
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 15, 25, 35, 45, 55, 65]",1638525700.5035944
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[7, 18, 28, 38, 48, 58, 68]",1638525700.5035944
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525700.5035944
Längenfeldgasse,U4,HÜTTELDORF,"[5, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525700.5035944
Längenfeldgasse,U6,FLORIDSDORF,"[6, 8, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525700.5035944
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525700.5035944
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 8, 15, 23, 31, 38, 45, 53, 60, 68]",1638525700.5035944
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[2, 9, 15, 23, 30, 38, 45, 53, 60, 68]",1638525700.5035944
Längenfeldgasse U,12A,Eichenstraße,"[7, 17, 27, 37, 47, 57, 67]",1638525710.905231
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[3, 13, 23, 33, 43, 53, 63]",1638525710.905231
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 13, 14, 17, 28, 35, 43, 50, 58, 65]",1638525710.905231
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[1, 12, 19, 28, 33, 41, 48, 56, 63]",1638525710.905231
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638525710.905231
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[7, 18, 27, 38, 48, 58, 68]",1638525710.905231
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525710.905231
Längenfeldgasse,U4,HÜTTELDORF,"[5, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525710.905231
Längenfeldgasse,U6,FLORIDSDORF,"[5, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525710.905231
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525710.905231
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 8, 15, 23, 32, 38, 45, 53, 60, 68]",1638525710.905231
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 15, 23, 30, 38, 45, 53, 60, 68]",1638525710.905231
Längenfeldgasse U,12A,Eichenstraße,"[8, 17, 26, 36, 46, 56, 66]",1638525721.328724
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[3, 13, 23, 33, 43, 53, 63]",1638525721.328724
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 12, 14, 17, 27, 35, 42, 50, 57, 65]",1638525721.328724
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[1, 12, 19, 28, 33, 40, 48, 55, 63]",1638525721.328724
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638525721.328724
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[7, 18, 27, 38, 48, 58, 68]",1638525721.328724
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 9, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525721.328724
Längenfeldgasse,U4,HÜTTELDORF,"[5, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525721.328724
Längenfeldgasse,U6,FLORIDSDORF,"[5, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525721.328724
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 3, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525721.328724
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[1, 8, 15, 22, 32, 37, 45, 52, 59, 67]",1638525721.328724
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 14, 22, 29, 37, 44, 52, 59, 67]",1638525721.328724
Längenfeldgasse U,12A,Eichenstraße,"[8, 17, 26, 36, 46, 56, 66]",1638525731.6674716
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[3, 12, 23, 33, 43, 53, 63]",1638525731.6674716
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 12, 14, 17, 27, 35, 42, 50, 57, 65]",1638525731.6674716
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[1, 11, 19, 28, 33, 40, 48, 55, 63]",1638525731.6674716
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638525731.6674716
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 27, 38, 48, 58, 68]",1638525731.6674716
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525731.6674716
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525731.6674716
Längenfeldgasse,U6,FLORIDSDORF,"[5, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525731.6674716
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 3, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525731.6674716
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[0, 8, 15, 22, 32, 37, 44, 52, 59, 67]",1638525731.6674716
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 14, 22, 29, 37, 44, 52, 59, 67]",1638525731.6674716
Längenfeldgasse U,12A,Eichenstraße,"[7, 16, 26, 36, 46, 56, 66]",1638525742.0964782
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[3, 12, 23, 33, 43, 53, 63]",1638525742.0964782
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 12, 14, 17, 27, 35, 42, 50, 57, 65]",1638525742.0964782
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[1, 11, 19, 27, 33, 40, 48, 55, 63]",1638525742.0964782
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638525742.0964782
